,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
6212,39.2,2.0,4.0,3.0,7465.0,6.0,3.0,2022.0,10.8478878,106.6408529,71500.0,0.0534003669794765,26.0,0.0,5.0
10088,50.0,0.0,4.0,2.0,1402.0,5.0,2.0,2019.0,20.9295,105.71111,13400.0,0.0534061638818951,26.0,1.0,0.7
25388,38.0,2.0,4.0,2.0,5291.0,3.0,2.0,2019.0,21.00859,105.86626,11622.0,0.0534061638818951,26.0,1.0,2.6
5298,19.6,2.0,4.0,4.0,3900.0,6.0,4.0,2022.0,10.800049941330544,106.69034106606898,72317.0,0.0534003669794765,26.0,0.0,4.2
31724,75.0,4.0,4.0,2.0,3726.0,6.0,3.0,2022.0,21.0145346,105.943659,8443.0,0.0534061638818951,26.0,1.0,0.134
463,72.0,0.0,2.0,1.0,7484.0,4.0,4.0,2023.0,10.803839875227192,106.61586729323032,71913.0,0.0534003669794765,26.0,0.0,2.45
24364,40.0,2.0,4.0,4.0,3838.0,3.0,3.0,2022.0,20.9849911,105.7863219,12011.0,0.0534061638818951,26.0,1.0,8.5
10065,58.0,0.0,4.0,2.0,6365.0,6.0,2.0,2019.0,21.06428,105.80627,10206.0,7.283054856179167e-05,30.0,1.0,2.1
2087,41.0,0.0,1.0,1.0,2418.0,6.0,4.0,2022.0,10.76345395,106.70375925,72806.0,0.0534003669794765,26.0,0.0,2.1
31345,42.0,2.0,4.0,5.0,3576.0,3.0,3.0,2023.0,21.0301393,105.8099499,11150.0,0.3523734535646894,30.0,1.0,10.9
32332,170.0,4.0,6.0,4.0,2902.0,6.0,3.0,2023.0,21.0124718,105.770698,10074.0,0.0534061638818951,26.0,1.0,48.0
26836,48.0,2.0,4.0,3.0,7192.0,3.0,2.0,2023.0,21.0409955,105.8007971,10072.0,0.3761097783818323,30.0,1.0,15.0
14915,110.0,0.0,4.0,2.0,3674.0,5.0,1.0,2020.0,20.997338,105.8040817,10055.0,7.283054856179167e-05,30.0,1.0,4.1
